match_id,team_a_id,team_b_id,team_a_name,team_b_name,match_date,competition_name,label,delta_avg_possession_pct,delta_avg_ppda,delta_avg_pressure_success_rate,delta_avg_xg_created_p90,delta_avg_xg_ratio,delta_avg_progressive_carry_pct,delta_avg_pass_completion_pct,delta_avg_passes_final_third_p90,delta_avg_pass_completion_under_pressure_pct,delta_avg_set_piece_shot_pct,is_home,form_points_delta,archetype_matchup_id,delta_matches_played,competition_weight
3869420,785,781,Croatia,Brazil,2022-12-09,FIFA World Cup,draw,-0.3180260452364636,0.01758241758241752,-0.2530568846358325,-0.9217391304347831,-6.26874279123414,-0.6020618556701032,-0.5593625498007971,-0.8369506075811621,-0.5593625498007971,0.39207507820646503,1,-3.0,4,11,1.0
3869420,781,785,Brazil,Croatia,2022-12-09,FIFA World Cup,draw,0.3180260452364636,-0.01758241758241752,0.2530568846358325,0.9217391304347831,6.26874279123414,0.6020618556701032,0.5593625498007971,0.8369506075811621,0.5593625498007971,-0.39207507820646503,0,3.0,1,-11,1.0
3869486,788,780,Morocco,Portugal,2022-12-10,FIFA World Cup,win,-1.5663696595841898,0.6476190476190471,-0.7634237107921323,-1.2243478260869567,-1.6920415224913496,-0.6597938144329893,-1.1075697211155373,-1.8356810350039297,-1.1075697211155373,-0.8488008342022941,1,0.0,13,-8,1.0
3869486,780,788,Portugal,Morocco,2022-12-10,FIFA World Cup,loss,1.5663696595841898,-0.6476190476190471,0.7634237107921323,1.2243478260869567,1.6920415224913496,0.6597938144329893,1.1075697211155373,1.8356810350039297,1.1075697211155373,0.8488008342022941,0,0.0,7,8,1.0
3869519,779,785,Argentina,Croatia,2022-12-13,FIFA World Cup,win,0.5803061457619374,-0.5098901098901095,0.7442849548112711,0.612173913043478,3.1972318339100347,0.11958762886597973,0.2406374501992038,0.5736049815609696,0.2406374501992038,1.023983315954119,1,3.0,1,-10,1.0
3869519,785,779,Croatia,Argentina,2022-12-13,FIFA World Cup,loss,-0.5803061457619374,0.5098901098901095,-0.7442849548112711,-0.612173913043478,-3.1972318339100347,-0.11958762886597973,-0.2406374501992038,-0.5736049815609696,-0.2406374501992038,-1.023983315954119,0,-3.0,4,10,1.0
3869552,771,788,France,Morocco,2022-12-14,FIFA World Cup,win,0.781357093899931,0.17875457875457987,-0.45933014354067014,1.2069565217391305,1.1534025374855825,0.8989690721649481,0.8717131474103575,1.3372831146847224,0.8717131474103575,0.20229405630865505,1,1.0,7,14,1.0
3869552,788,771,Morocco,France,2022-12-14,FIFA World Cup,loss,-0.781357093899931,-0.17875457875457987,0.45933014354067014,-1.2069565217391305,-1.1534025374855825,-0.8989690721649481,-0.8717131474103575,-1.3372831146847224,-0.8717131474103575,-0.20229405630865505,0,-1.0,13,-14,1.0
3869684,785,788,Croatia,Morocco,2022-12-17,FIFA World Cup,win,1.1240575736806027,-0.8087912087912081,0.2807017543859652,1.4591304347826088,0.6470588235294117,0.5731958762886591,0.6756972111553771,1.160510247264373,0.6756972111553771,0.010427528675704012,1,-4.0,7,11,1.0
3869684,788,785,Morocco,Croatia,2022-12-17,FIFA World Cup,loss,-1.1240575736806027,0.8087912087912081,-0.2807017543859652,-1.4591304347826088,-0.6470588235294117,-0.5731958762886591,-0.6756972111553771,-1.160510247264373,-0.6756972111553771,-0.010427528675704012,0,4.0,13,-11,1.0
3869685,779,771,Argentina,France,2022-12-18,FIFA World Cup,draw,0.923006625542609,-1.4974358974358974,1.4843168527379063,0.8643478260869564,2.690888119953864,-0.20618556701030927,0.04462151394422331,0.39683211414062014,0.04462151394422331,0.832116788321168,1,1.0,1,-13,1.0
3869685,771,779,France,Argentina,2022-12-18,FIFA World Cup,draw,-0.923006625542609,1.4974358974358974,-1.4843168527379063,-0.8643478260869564,-2.690888119953864,0.20618556701030927,-0.04462151394422331,-0.39683211414062014,-0.04462151394422331,-0.832116788321168,0,-1.0,4,13,1.0
